move,depth,score,best,nodes,assigned_ms,used_ms,depth_time_ms,nps,tt_probes,tt_hits,tt_cutoffs,beta,fm_beta,fm_beta_rate,avg_beta_idx,alpha_raises,pv_depth,pv_line,iter_depths,iter_times_ms,iter_nodes,iter_nps,raw
1,5,4,h7k7,192316,523,188,173,1108253,10377,3757,782,5827,3470,59.6%,0.47,2651,5,FIRST:h7k7 SECOND:l1o1 FIRST:h1i2 SECOND:j6j8 FIRST:p8q9,"1,2,3,4,5","0,0,3,10,173","57,271,4167,10124,192316","661252,817742,1099588,944394,1108253","SEARCH move=1 depth=5 score=4 best=h7k7 nodes=192316 assigned_ms=523 used_ms=188 depth_time_ms=173 nps=1108253 | TT probes=10377 hits=3757 cutoffs=782 | AB beta=5827 fm_beta=3470 fm_beta_rate=59.6% avg_beta_idx=0.47 alpha_raises=2651 | PV move=1 depth=5 line=FIRST:h7k7 SECOND:l1o1 FIRST:h1i2 SECOND:j6j8 FIRST:p8q9 | ITER depths=1,2,3,4,5 times_ms=0,0,3,10,173 nodes=57,271,4167,10124,192316 nps=661252,817742,1099588,944394,1108253"
2,5,4,h1i2,115809,546,104,96,1197936,7394,2572,530,4384,2384,54.4%,0.52,2191,5,FIRST:h1i2 SECOND:c3c5 FIRST:f5f7 SECOND:j6j8 FIRST:p8q9,"1,2,3,4,5","0,0,0,7,96","1,1,1,8665,115809","1666666,10000000,10000000,1129917,1197936","SEARCH move=2 depth=5 score=4 best=h1i2 nodes=115809 assigned_ms=546 used_ms=104 depth_time_ms=96 nps=1197936 | TT probes=7394 hits=2572 cutoffs=530 | AB beta=4384 fm_beta=2384 fm_beta_rate=54.4% avg_beta_idx=0.52 alpha_raises=2191 | PV move=2 depth=5 line=FIRST:h1i2 SECOND:c3c5 FIRST:f5f7 SECOND:j6j8 FIRST:p8q9 | ITER depths=1,2,3,4,5 times_ms=0,0,0,7,96 nodes=1,1,1,8665,115809 nps=1666666,10000000,10000000,1129917,1197936"
3,5,4,f5f7,105411,508,89,82,1282314,8077,2210,300,5156,2051,39.8%,0.80,2310,5,FIRST:f5f7 SECOND:a1c1 FIRST:e9g9 SECOND:g8g10 FIRST:p8q9,"1,2,3,4,5","0,0,0,6,82","1,1,1,7583,105411","833333,10000000,5000000,1118271,1282314","SEARCH move=3 depth=5 score=4 best=f5f7 nodes=105411 assigned_ms=508 used_ms=89 depth_time_ms=82 nps=1282314 | TT probes=8077 hits=2210 cutoffs=300 | AB beta=5156 fm_beta=2051 fm_beta_rate=39.8% avg_beta_idx=0.80 alpha_raises=2310 | PV move=3 depth=5 line=FIRST:f5f7 SECOND:a1c1 FIRST:e9g9 SECOND:g8g10 FIRST:p8q9 | ITER depths=1,2,3,4,5 times_ms=0,0,0,6,82 nodes=1,1,1,7583,105411 nps=833333,10000000,5000000,1118271,1282314"
4,6,-1,p2p4,131414,542,164,118,1108370,46014,15106,11399,31764,17938,56.5%,0.46,10813,6,FIRST:p2p4 SECOND:i10k10 FIRST:p8p10 SECOND:m8q8 FIRST:o6o9 SECOND:n7p7,"1,2,3,4,5,6","0,0,0,5,40,118","1,1,1,6275,50928,131414","1250000,10000000,5000000,1105084,1254918,1108370","SEARCH move=4 depth=6 score=-1 best=p2p4 nodes=131414 assigned_ms=542 used_ms=164 depth_time_ms=118 nps=1108370 | TT probes=46014 hits=15106 cutoffs=11399 | AB beta=31764 fm_beta=17938 fm_beta_rate=56.5% avg_beta_idx=0.46 alpha_raises=10813 | PV move=4 depth=6 line=FIRST:p2p4 SECOND:i10k10 FIRST:p8p10 SECOND:m8q8 FIRST:o6o9 SECOND:n7p7 | ITER depths=1,2,3,4,5,6 times_ms=0,0,0,5,40,118 nodes=1,1,1,6275,50928,131414 nps=1250000,10000000,5000000,1105084,1254918,1108370"
5,7,4,e1f1,796007,1500,770,659,1206718,115690,34726,16476,70596,32575,46.1%,0.66,17717,7,FIRST:e1f1 SECOND:j6j8 FIRST:i6k6 SECOND:e10f10 FIRST:e9g9 SECOND:g8g10 FIRST:p8q9,"1,2,3,4,5,6,7","0,0,0,0,25,85,659","1,1,1,1,34058,97225,796007","2000000,10000000,10000000,10000000,1349772,1133014,1206718","SEARCH move=5 depth=7 score=4 best=e1f1 nodes=796007 assigned_ms=1500 used_ms=770 depth_time_ms=659 nps=1206718 | TT probes=115690 hits=34726 cutoffs=16476 | AB beta=70596 fm_beta=32575 fm_beta_rate=46.1% avg_beta_idx=0.66 alpha_raises=17717 | PV move=5 depth=7 line=FIRST:e1f1 SECOND:j6j8 FIRST:i6k6 SECOND:e10f10 FIRST:e9g9 SECOND:g8g10 FIRST:p8q9 | ITER depths=1,2,3,4,5,6,7 times_ms=0,0,0,0,25,85,659 nodes=1,1,1,1,34058,97225,796007 nps=2000000,10000000,10000000,10000000,1349772,1133014,1206718"
6,7,4,i6k6,401919,1500,412,347,1155175,57931,23800,10243,31574,18027,57.1%,0.50,10040,7,FIRST:i6k6 SECOND:e10f10 FIRST:n4o4 SECOND:d7d8 FIRST:e9g9 SECOND:g8g10 FIRST:p8q9,"1,2,3,4,5,6,7","0,0,0,0,0,64,347","1,1,1,1,1,82116,401919","909090,5000000,10000000,5000000,3333333,1270343,1155175","SEARCH move=6 depth=7 score=4 best=i6k6 nodes=401919 assigned_ms=1500 used_ms=412 depth_time_ms=347 nps=1155175 | TT probes=57931 hits=23800 cutoffs=10243 | AB beta=31574 fm_beta=18027 fm_beta_rate=57.1% avg_beta_idx=0.50 alpha_raises=10040 | PV move=6 depth=7 line=FIRST:i6k6 SECOND:e10f10 FIRST:n4o4 SECOND:d7d8 FIRST:e9g9 SECOND:g8g10 FIRST:p8q9 | ITER depths=1,2,3,4,5,6,7 times_ms=0,0,0,0,0,64,347 nodes=1,1,1,1,1,82116,401919 nps=909090,5000000,10000000,5000000,3333333,1270343,1155175"
7,7,4,p8p10,417438,1500,592,528,790214,73413,18780,6987,48072,22049,45.9%,0.65,8707,7,FIRST:p8p10 SECOND:m8q8 FIRST:o6o9 SECOND:b6b7 FIRST:d6e6 SECOND:e9g9 FIRST:g8g10,"1,2,3,4,5,6,7","0,0,0,0,0,63,528","1,1,1,1,1,54478,417438","769230,10000000,0,10000000,10000000,852301,790214","SEARCH move=7 depth=7 score=4 best=p8p10 nodes=417438 assigned_ms=1500 used_ms=592 depth_time_ms=528 nps=790214 | TT probes=73413 hits=18780 cutoffs=6987 | AB beta=48072 fm_beta=22049 fm_beta_rate=45.9% avg_beta_idx=0.65 alpha_raises=8707 | PV move=7 depth=7 line=FIRST:p8p10 SECOND:m8q8 FIRST:o6o9 SECOND:b6b7 FIRST:d6e6 SECOND:e9g9 FIRST:g8g10 | ITER depths=1,2,3,4,5,6,7 times_ms=0,0,0,0,0,63,528 nodes=1,1,1,1,1,54478,417438 nps=769230,10000000,0,10000000,10000000,852301,790214"
8,8,0,o6o9,286753,1500,692,505,567422,101822,54672,40024,48038,32869,68.4%,0.37,15569,8,FIRST:o6o9 SECOND:b6b7 FIRST:d6e6 SECOND:n4o4 FIRST:d2d3 SECOND:e9g9 FIRST:g8g10 SECOND:n7p7,"1,2,3,4,5,6,7,8","0,0,0,0,0,29,156,505","1,1,1,1,1,26337,129845,286753","1111111,0,10000000,0,10000000,887308,827938,567422","SEARCH move=8 depth=8 score=0 best=o6o9 nodes=286753 assigned_ms=1500 used_ms=692 depth_time_ms=505 nps=567422 | TT probes=101822 hits=54672 cutoffs=40024 | AB beta=48038 fm_beta=32869 fm_beta_rate=68.4% avg_beta_idx=0.37 alpha_raises=15569 | PV move=8 depth=8 line=FIRST:o6o9 SECOND:b6b7 FIRST:d6e6 SECOND:n4o4 FIRST:d2d3 SECOND:e9g9 FIRST:g8g10 SECOND:n7p7 | ITER depths=1,2,3,4,5,6,7,8 times_ms=0,0,0,0,0,29,156,505 nodes=1,1,1,1,1,26337,129845,286753 nps=1111111,0,10000000,0,10000000,887308,827938,567422"
9,8,0,d6e6,189213,1500,1500,365,517991,79937,38662,26008,44338,30822,69.5%,0.35,12972,8,FIRST:d6e6 SECOND:n4o4 FIRST:d2d3 SECOND:g2g3 FIRST:q2q3 SECOND:e9g9 FIRST:g8g10 SECOND:n7p7,"1,2,3,4,5,6,7,8","0,0,0,0,0,0,239,365","1,1,1,1,1,1,150660,189213","625000,10000000,0,10000000,0,10000000,629292,517991","SEARCH move=9 depth=8 score=0 best=d6e6 nodes=189213 assigned_ms=1500 used_ms=1500 depth_time_ms=365 nps=517991 | TT probes=79937 hits=38662 cutoffs=26008 | AB beta=44338 fm_beta=30822 fm_beta_rate=69.5% avg_beta_idx=0.35 alpha_raises=12972 | PV move=9 depth=8 line=FIRST:d6e6 SECOND:n4o4 FIRST:d2d3 SECOND:g2g3 FIRST:q2q3 SECOND:e9g9 FIRST:g8g10 SECOND:n7p7 | ITER depths=1,2,3,4,5,6,7,8 times_ms=0,0,0,0,0,0,239,365 nodes=1,1,1,1,1,1,150660,189213 nps=625000,10000000,0,10000000,0,10000000,629292,517991"
10,9,5,d2d3,165645,1500,1500,280,589484,47971,27593,12662,21441,15600,72.8%,0.30,6610,9,FIRST:d2d3 SECOND:g2g3 FIRST:q2q3 SECOND:e3f3 FIRST:d7d8 SECOND:pass FIRST:e9g9 SECOND:g8g10 FIRST:j2l2,"1,2,3,4,5,6,7,8,9","0,0,0,0,0,0,0,114,280","17,64,56,38,53,53,38,64365,165645","561056,693391,938023,1172839,1201814,1199095,1347517,562851,589484","SEARCH move=10 depth=9 score=5 best=d2d3 nodes=165645 assigned_ms=1500 used_ms=1500 depth_time_ms=280 nps=589484 | TT probes=47971 hits=27593 cutoffs=12662 | AB beta=21441 fm_beta=15600 fm_beta_rate=72.8% avg_beta_idx=0.30 alpha_raises=6610 | PV move=10 depth=9 line=FIRST:d2d3 SECOND:g2g3 FIRST:q2q3 SECOND:e3f3 FIRST:d7d8 SECOND:pass FIRST:e9g9 SECOND:g8g10 FIRST:j2l2 | ITER depths=1,2,3,4,5,6,7,8,9 times_ms=0,0,0,0,0,0,0,114,280 nodes=17,64,56,38,53,53,38,64365,165645 nps=561056,693391,938023,1172839,1201814,1199095,1347517,562851,589484"
11,9,8,a9e9,102573,470,148,148,692772,35432,19561,11008,15405,11044,71.7%,0.32,4222,9,FIRST:a9e9 SECOND:g2g3 FIRST:a8a10 SECOND:b8b10 FIRST:q2q3 SECOND:e3f3 FIRST:g8g9 SECOND:pass FIRST:j2l2,"1,2,3,4,5,6,7,8,9","0,0,0,0,0,0,0,0,148","1,1,1,1,1,1,1,1,102573","1250000,0,0,10000000,0,10000000,10000000,0,692772","SEARCH move=11 depth=9 score=8 best=a9e9 nodes=102573 assigned_ms=470 used_ms=148 depth_time_ms=148 nps=692772 | TT probes=35432 hits=19561 cutoffs=11008 | AB beta=15405 fm_beta=11044 fm_beta_rate=71.7% avg_beta_idx=0.32 alpha_raises=4222 | PV move=11 depth=9 line=FIRST:a9e9 SECOND:g2g3 FIRST:a8a10 SECOND:b8b10 FIRST:q2q3 SECOND:e3f3 FIRST:g8g9 SECOND:pass FIRST:j2l2 | ITER depths=1,2,3,4,5,6,7,8,9 times_ms=0,0,0,0,0,0,0,0,148 nodes=1,1,1,1,1,1,1,1,102573 nps=1250000,0,0,10000000,0,10000000,10000000,0,692772"
12,11,5,a8a10,83048,561,309,141,588532,36771,26252,12676,13735,11326,82.5%,0.19,4037,11,FIRST:a8a10 SECOND:b8b10 FIRST:q2q3 SECOND:e3f3 FIRST:g8g9 SECOND:pass FIRST:pass,"1,2,3,4,5,6,7,8,9,10,11","0,0,0,0,0,0,0,24,66,78,141","1,1,1,1,1,1,1,15304,37906,45095,83048","769230,10000000,10000000,0,10000000,10000000,0,635928,573019,575703,588532","SEARCH move=12 depth=11 score=5 best=a8a10 nodes=83048 assigned_ms=561 used_ms=309 depth_time_ms=141 nps=588532 | TT probes=36771 hits=26252 cutoffs=12676 | AB beta=13735 fm_beta=11326 fm_beta_rate=82.5% avg_beta_idx=0.19 alpha_raises=4037 | PV move=12 depth=11 line=FIRST:a8a10 SECOND:b8b10 FIRST:q2q3 SECOND:e3f3 FIRST:g8g9 SECOND:pass FIRST:pass | ITER depths=1,2,3,4,5,6,7,8,9,10,11 times_ms=0,0,0,0,0,0,0,24,66,78,141 nodes=1,1,1,1,1,1,1,15304,37906,45095,83048 nps=769230,10000000,10000000,0,10000000,10000000,0,635928,573019,575703,588532"
13,18,5,q2q3,38225,675,442,123,309090,30017,29033,10862,11118,11018,99.1%,0.01,275,18,FIRST:q2q3 SECOND:e3f3 FIRST:g8g9 SECOND:pass FIRST:pass,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0,0,0,0,0,0,0,0,0,23,37,41,32,35,43,40,63,123","1,1,1,1,1,1,1,1,1,17274,22220,23718,30600,30392,38412,40962,39640,38225","833333,10000000,10000000,10000000,10000000,10000000,0,10000000,10000000,731741,593467,569782,944607,861732,878273,1006370,625220,309090","SEARCH move=13 depth=18 score=5 best=q2q3 nodes=38225 assigned_ms=675 used_ms=442 depth_time_ms=123 nps=309090 | TT probes=30017 hits=29033 cutoffs=10862 | AB beta=11118 fm_beta=11018 fm_beta_rate=99.1% avg_beta_idx=0.01 alpha_raises=275 | PV move=13 depth=18 line=FIRST:q2q3 SECOND:e3f3 FIRST:g8g9 SECOND:pass FIRST:pass | ITER depths=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 times_ms=0,0,0,0,0,0,0,0,0,23,37,41,32,35,43,40,63,123 nodes=1,1,1,1,1,1,1,1,1,17274,22220,23718,30600,30392,38412,40962,39640,38225 nps=833333,10000000,10000000,10000000,10000000,10000000,0,10000000,10000000,731741,593467,569782,944607,861732,878273,1006370,625220,309090"
14,17,5,g8g9,4052,328,3,3,1209841,3095,3062,831,1304,1303,99.9%,0.00,7,17,FIRST:g8g9 SECOND:pass FIRST:pass,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4052","1111111,10000000,0,0,10000000,10000000,10000000,0,10000000,10000000,10000000,10000000,0,10000000,10000000,0,1209841","SEARCH move=14 depth=17 score=5 best=g8g9 nodes=4052 assigned_ms=328 used_ms=3 depth_time_ms=3 nps=1209841 | TT probes=3095 hits=3062 cutoffs=831 | AB beta=1304 fm_beta=1303 fm_beta_rate=99.9% avg_beta_idx=0.00 alpha_raises=7 | PV move=14 depth=17 line=FIRST:g8g9 SECOND:pass FIRST:pass | ITER depths=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17 times_ms=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 nodes=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4052 nps=1111111,10000000,0,0,10000000,10000000,10000000,0,10000000,10000000,10000000,10000000,0,10000000,10000000,0,1209841"
15,1,5,pass,1,327,0,0,1250000,1,1,1,0,0,0.0%,0.00,0,1,FIRST:pass,1,0,1,1250000,SEARCH move=15 depth=1 score=5 best=pass nodes=1 assigned_ms=327 used_ms=0 depth_time_ms=0 nps=1250000 | TT probes=1 hits=1 cutoffs=1 | AB beta=0 fm_beta=0 fm_beta_rate=0.0% avg_beta_idx=0.00 alpha_raises=0 | PV move=15 depth=1 line=FIRST:pass | ITER depths=1 times_ms=0 nodes=1 nps=1250000
